epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.927959231229929,6.9534025,0.094,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.927959231229929,6.9534025,0.094,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.927959231229929,6.9534025,0.094,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,nan,nan,0.1,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,nan,nan,0.1,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,nan,nan,0.1,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,nan,nan,0.1,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,nan,nan,0.1,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,nan,nan,0.1,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
3,nan,nan,0.1,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
3,nan,nan,0.1,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
3,nan,nan,0.1,0.5
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.922147686664875,6.971437197265625,0.09,0.514
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.922147686664875,6.971437197265625,0.09,0.514
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.922147686664875,6.971437197265625,0.09,0.514
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.671869167914758,6.953783168182373,0.098,0.548
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.671869167914758,6.953783168182373,0.098,0.548
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.671869167914758,6.953783168182373,0.098,0.548
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,6.406583529252273,6.9372536697387694,0.124,0.642
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,6.406583529252273,6.9372536697387694,0.124,0.642
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,6.406583529252273,6.9372536697387694,0.124,0.642
epoch,train_loss,eval_loss,eval_top1,eval_top5
3,6.132705074090224,6.929882903137207,0.104,0.626
epoch,train_loss,eval_loss,eval_top1,eval_top5
3,6.132705074090224,6.929882903137207,0.104,0.626
epoch,train_loss,eval_loss,eval_top1,eval_top5
3,6.132705074090224,6.929882903137207,0.104,0.626
epoch,train_loss,eval_loss,eval_top1,eval_top5
4,5.87880894770989,6.923524948577881,0.142,0.716
epoch,train_loss,eval_loss,eval_top1,eval_top5
4,5.87880894770989,6.923524948577881,0.142,0.716
epoch,train_loss,eval_loss,eval_top1,eval_top5
4,5.87880894770989,6.923524948577881,0.142,0.716
epoch,train_loss,eval_loss,eval_top1,eval_top5
5,5.650428652763367,6.9065288688659665,0.148,0.736
epoch,train_loss,eval_loss,eval_top1,eval_top5
5,5.650428652763367,6.9065288688659665,0.148,0.736
epoch,train_loss,eval_loss,eval_top1,eval_top5
5,5.650428652763367,6.9065288688659665,0.148,0.736
